Percent Filled, Vec iter time, DenseVec iter time, BTree iter time, HashMap iter time, Null iter time
0%, 21, 0, 0, 0, 0
1%, 361, 362, 5261, 4041, 406
2%, 739, 746, 11036, 9187, 667
3%, 1080, 1117, 16805, 15295, 984
4%, 1435, 1428, 22194, 23524, 1285
5%, 1799, 1876, 30538, 31822, 1657
6%, 2247, 2209, 33121, 29549, 1939
7%, 2449, 2575, 39895, 41081, 2286
8%, 2776, 2881, 45305, 51898, 2614
9%, 3540, 3430, 52910, 87196, 2994
10%, 3578, 3620, 58341, 51120, 3305
11%, 4118, 4057, 65860, 59628, 3635
12%, 4272, 4443, 70444, 67933, 3942
13%, 4511, 4679, 75747, 75542, 4243
14%, 4844, 5093, 81698, 85589, 4558
15%, 5261, 5560, 104748, 99758, 4895
16%, 5495, 5762, 93126, 113501, 5162
17%, 6066, 6464, 105316, 157725, 5689
18%, 6529, 7774, 109305, 206522, 6046
19%, 6627, 6901, 117074, 199932, 6258
20%, 6947, 7203, 118984, 98148, 6493
21%, 7457, 7801, 129616, 117575, 6934
22%, 7823, 7998, 132525, 112668, 7172
23%, 7995, 8331, 140231, 122880, 7590
24%, 8595, 8920, 142689, 131445, 7811
25%, 8825, 9222, 150246, 140516, 8216
26%, 9017, 9413, 156514, 156830, 8461
27%, 9709, 10379, 163876, 161028, 8620
28%, 9799, 10331, 170139, 183085, 9084
29%, 10153, 10840, 179110, 183065, 9710
30%, 10312, 10777, 178744, 178027, 9831
31%, 10811, 11286, 187063, 264270, 10436
32%, 11104, 11641, 190995, 209764, 10342
33%, 11387, 11991, 195644, 234232, 18074
34%, 11814, 12117, 199504, 264034, 11686
35%, 12373, 13068, 213707, 322414, 12042
36%, 12756, 13190, 215182, 323127, 11889
37%, 12800, 13571, 223962, 430244, 18796
38%, 13760, 14023, 244217, 447243, 12455
39%, 13737, 14194, 236955, 194842, 12742
40%, 13792, 14855, 245980, 221262, 12891
41%, 14788, 15266, 256280, 233925, 13232
42%, 14663, 15121, 251122, 216172, 13631
43%, 14775, 15651, 257519, 230777, 13997
44%, 27976, 17545, 265138, 220964, 14274
45%, 15496, 16741, 271628, 223755, 14507
46%, 16317, 19282, 289658, 247569, 14891
47%, 16529, 17313, 284740, 265564, 15140
48%, 16712, 17442, 289823, 246181, 15506
49%, 16966, 17694, 304835, 290983, 16142
50%, 17979, 18920, 324030, 268449, 16298
51%, 17299, 18394, 306802, 292707, 16818
52%, 18746, 19118, 323309, 320547, 16972
53%, 18484, 19325, 354198, 329724, 17335
54%, 18867, 22701, 354649, 295831, 17398
55%, 19172, 20412, 350221, 347097, 18240
56%, 19468, 20734, 340915, 344402, 18190
57%, 19965, 20849, 347290, 336844, 24932
58%, 20680, 21624, 370306, 350903, 19148
59%, 20600, 21460, 377447, 365073, 19052
60%, 20900, 21854, 370225, 386635, 19225
61%, 22012, 23514, 376899, 389876, 19660
62%, 21848, 22711, 381340, 428667, 20018
63%, 30146, 32388, 391441, 382651, 20689
64%, 22563, 23534, 412835, 446823, 21090
65%, 22726, 23574, 409770, 477043, 21487
66%, 23944, 26154, 404509, 492711, 22033
67%, 23185, 24474, 413511, 499235, 22128
68%, 23695, 24792, 418299, 513073, 32232
69%, 24348, 25577, 434823, 524849, 22792
70%, 24412, 25646, 447998, 552201, 22840
71%, 24968, 29464, 459048, 617186, 22965
72%, 24954, 26233, 457405, 640824, 23939
73%, 25427, 27202, 450577, 690461, 23751
74%, 26021, 32424, 467651, 670311, 23934
75%, 27051, 26990, 459506, 720296, 24535
76%, 26355, 27985, 487305, 839820, 24445
77%, 27620, 28070, 476535, 396145, 25463
78%, 27017, 28342, 500681, 386359, 25510
79%, 34144, 38110, 494110, 415466, 25801
80%, 27663, 29243, 508302, 394579, 32218
81%, 28165, 29813, 512165, 400416, 26425
82%, 28492, 29607, 521268, 416330, 26823
83%, 28788, 30100, 578945, 408796, 26910
84%, 32569, 31329, 540425, 426370, 27488
85%, 35767, 41417, 538369, 413381, 27964
86%, 30132, 30959, 544051, 435474, 27995
87%, 30416, 31776, 558826, 457978, 28794
88%, 30756, 32029, 562544, 473527, 29224
89%, 30833, 32314, 560666, 512053, 29822
90%, 30876, 32530, 562319, 488448, 29202
91%, 31386, 33029, 569721, 542193, 29884
92%, 38262, 33986, 576717, 492338, 29859
93%, 32441, 34300, 620835, 482242, 30294
94%, 33769, 36922, 598202, 474419, 30501
95%, 32941, 35942, 616591, 487460, 31024
96%, 33689, 35965, 623817, 485563, 31027
97%, 33261, 44682, 650856, 553309, 37653
98%, 34249, 36100, 616433, 535068, 31959
99%, 34450, 36227, 623538, 499375, 32345
100%, 34450, 36133, 656715, 518635, 32877
