Percent Filled, Vec iter time, DenseVec iter time, BTree iter time, HashMap iter time, Null iter time
0%, 17, 0, 0, 0, 0
1%, 372, 373, 5217, 3114, 332
2%, 734, 729, 10921, 9855, 1458
3%, 1104, 1131, 16697, 15454, 991
4%, 1440, 1483, 23093, 29545, 1321
5%, 1759, 1801, 27345, 22636, 1608
6%, 2076, 2314, 33421, 29277, 1950
7%, 2879, 2689, 40368, 42926, 2307
8%, 5376, 5612, 54981, 53823, 2636
9%, 3252, 3318, 51431, 70570, 5756
10%, 3532, 3640, 57481, 47310, 3234
11%, 3832, 4003, 75865, 58728, 3575
12%, 4830, 4679, 70768, 59114, 3877
13%, 4774, 4738, 75614, 70994, 4144
14%, 5338, 5537, 84858, 88408, 4552
15%, 5135, 5360, 87149, 100443, 4790
16%, 5578, 5813, 93150, 109745, 5184
17%, 5885, 6920, 107701, 124312, 5492
18%, 6265, 6446, 114568, 186805, 5964
19%, 6836, 6978, 114746, 197102, 6508
20%, 7039, 7237, 117605, 98855, 6490
21%, 7466, 7602, 133957, 137667, 6891
22%, 7587, 8080, 131101, 110953, 7106
23%, 8214, 8443, 138852, 123887, 7622
24%, 8205, 8522, 143982, 124363, 7903
25%, 8721, 9064, 155543, 140745, 7981
26%, 8980, 9358, 151329, 139462, 8304   
27%, 9535, 10303, 184726, 155315, 8692
28%, 9979, 10074, 191934, 179454, 9319
29%, 9983, 10496, 191131, 217252, 9351
30%, 10631, 11116, 182098, 201130, 9723
31%, 10769, 11299, 185811, 227409, 9987
32%, 11095, 11654, 190043, 232659, 10261
33%, 11410, 11992, 204497, 236067, 11274
34%, 11749, 12282, 201303, 285128, 11067
35%, 12157, 12590, 224832, 350125, 11333
36%, 12747, 14097, 217697, 338380, 11577
37%, 12920, 13315, 232786, 389733, 12048
38%, 13225, 13702, 226818, 431732, 12223
39%, 13624, 14488, 247242, 204485, 12547
40%, 13879, 14590, 236540, 196876, 13021
41%, 14384, 15040, 242762, 229054, 13248
42%, 15015, 16075, 252697, 236268, 13919
43%, 14914, 15431, 255415, 204053, 13996
44%, 15345, 16247, 279744, 218363, 14207
45%, 15721, 16392, 281541, 234288, 14646
46%, 24850, 22071, 275808, 252455, 14646
47%, 16618, 17313, 283382, 265042, 15468
48%, 16830, 17674, 302066, 305667, 15363
49%, 17357, 18067, 301203, 271797, 15760
50%, 17304, 18252, 317463, 293312, 23422
51%, 17602, 18438, 305597, 285894, 16680
52%, 18780, 19819, 315710, 308612, 16919
53%, 18511, 19332, 334643, 300297, 17301
54%, 18681, 19735, 331004, 308777, 17391
55%, 19183, 20110, 330432, 328973, 18016
56%, 19742, 20659, 342096, 339443, 17989
57%, 19466, 20371, 364483, 386471, 18402
58%, 21050, 21242, 347517, 356708, 18643
59%, 20524, 21612, 360233, 355747, 18988
60%, 20798, 21814, 362982, 387843, 19576
61%, 21019, 22063, 369523, 395147, 19796
62%, 21875, 22434, 374783, 420404, 26909
63%, 22226, 23044, 380128, 402329, 20611
64%, 22064, 23253, 389507, 451998, 20555
65%, 22948, 23794, 390410, 422500, 21200
66%, 23481, 25803, 429189, 496611, 21501
67%, 23122, 24128, 403635, 511239, 25243
68%, 24606, 25085, 414331, 493495, 22366
69%, 23746, 24785, 415481, 568936, 22955
70%, 24175, 25679, 434520, 541711, 22532
71%, 24428, 25634, 433349, 624880, 23131
72%, 24947, 26419, 450064, 690489, 23552
73%, 25412, 26924, 447037, 650609, 23475
74%, 25826, 27861, 451625, 877911, 24528
75%, 25968, 27004, 455073, 772099, 24244
76%, 26768, 28015, 469153, 828173, 25853
77%, 26756, 28105, 484136, 385065, 28040
78%, 26630, 27921, 482276, 385339, 25933
79%, 27304, 28548, 491051, 428148, 25687
80%, 29113, 30941, 528285, 445162, 26180
81%, 28752, 40535, 552605, 442870, 26662
82%, 28376, 30255, 504302, 452153, 26744
83%, 29219, 30848, 510291, 424803, 27572
84%, 29154, 30561, 519587, 416683, 27518
85%, 29491, 32087, 543701, 438899, 27524
86%, 29336, 36434, 550741, 442254, 35595
87%, 30627, 32017, 552075, 476120, 27840
88%, 31730, 32009, 552144, 455699, 28181
89%, 32436, 34196, 607625, 476238, 29359
90%, 31435, 32641, 584802, 471417, 29403
91%, 30759, 33283, 558415, 476940, 29182
92%, 32331, 33458, 582114, 464302, 29943
93%, 33367, 35633, 635644, 503135, 30196
94%, 32098, 33785, 606809, 465767, 30620
95%, 32941, 34596, 599205, 471433, 30456
96%, 32876, 34500, 601666, 491108, 31003
97%, 51304, 34987, 600662, 505308, 32625
98%, 33854, 35731, 620897, 514678, 31724
99%, 34280, 35972, 617815, 506656, 32004
100%, 35218, 37691, 635380, 517651, 32691
